amfi_code,scheme_name,category,cagr_3yr,sharpe_ratio,alpha,expense_ratio_pct,max_drawdown,return_rank,sharpe_rank,alpha_rank,expense_rank_inverse,max_dd_rank_inverse,fund_score,rank
120505,ICICI Pru Midcap Fund - Regular - Growth,Mid Cap,0.317775371512347,1.180101197660648,0.2926358334175095,1.36,-0.1818851357211629,90.0,90.0,95.0,65.0,62.5,84.5,1
119094,Axis Midcap Fund - Regular - Growth,Mid Cap,0.3511180209642852,0.99823098686364,0.2607666908004213,1.38,-0.2096088386203919,100.0,75.0,80.0,60.0,70.0,80.75,2
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,Mid Cap,0.3244245942195611,1.0936987435346326,0.271953545012853,1.38,-0.1621720857464484,92.5,85.0,87.5,60.0,50.0,80.5,3
148567,Mirae Asset Large Cap Fund - Regular - Growth,Large Cap,0.3400091602163293,1.4482911703262529,0.2698375144191788,1.46,-0.1126572907502827,97.5,100.0,85.0,45.0,20.0,80.0,4
120843,Kotak Flexicap Fund - Regular - Growth,Flexi Cap,0.2958277033726251,1.306743969542841,0.2733046503830598,1.45,-0.1297396816518679,85.0,97.5,90.0,47.5,32.5,78.25,5
120504,ICICI Pru Bluechip Fund - Direct - Growth,Large Cap,0.3248742855621496,1.026524284799298,0.2119482701352563,0.8,-0.1258827560692251,95.0,77.5,70.0,72.5,30.0,75.75,6
119598,SBI Small Cap Fund - Regular Plan - Growth,Small Cap,0.2666992200118774,0.945308257515609,0.3033696538698325,1.43,-0.2870600572176455,72.5,67.5,100.0,50.0,90.0,75.125,7
149324,DSP Small Cap Fund - Regular - Growth,Small Cap,0.2700042661451924,0.9497958246616024,0.3005787817097666,1.52,-0.3117190030063421,77.5,70.0,97.5,36.25,92.5,74.9375,8
148569,Mirae Asset Tax Saver Fund - Regular - Growth,ELSS,0.2917890157839378,1.2349300257743308,0.2827036785246577,1.6,-0.1639674294693263,82.5,95.0,92.5,11.25,52.5,73.9375,9
119551,SBI Bluechip Fund - Regular Plan - Growth,Large Cap,0.3045652442030289,1.2082665673727144,0.2320100716063496,1.54,-0.1501238549864533,87.5,92.5,77.5,26.25,42.5,73.0625,10
118632,Nippon India Large Cap Fund - Regular - Growth,Large Cap,0.2265235983009863,1.081659179345703,0.2182939790460857,1.51,-0.1741407508665723,67.5,82.5,75.0,41.25,57.49999999999999,67.8125,11
149323,DSP Midcap Fund - Regular - Growth,Mid Cap,0.268699908289022,1.1321218524747216,0.265985775420429,1.61,-0.1724810575345138,75.0,87.5,82.5,7.5,55.00000000000001,67.5,12
101206,ABSL Frontline Equity Fund - Regular - Growth,Large Cap,0.2896769452874166,1.02721332787537,0.2139978477605115,1.6,-0.1129159632932307,80.0,80.0,72.5,11.25,22.5,62.4375,13
118633,Nippon India Large Cap Fund - Direct - Growth,Large Cap,0.2108997654925684,0.6452074382933205,0.1564383594816961,0.72,-0.1862974313859551,65.0,50.0,47.5,88.75,65.0,61.3125,14
119552,SBI Bluechip Fund - Direct Plan - Growth,Large Cap,0.1626737229462491,0.9532794968660095,0.1986859936686288,0.66,-0.1180349350276429,45.0,72.5,65.0,92.5,27.500000000000004,61.25,15
125497,HDFC Top 100 Fund - Direct Plan - Growth,Large Cap,0.1843448861052017,0.7757902498211187,0.1772975492753168,0.92,-0.1520001305560639,55.00000000000001,57.49999999999999,62.5,67.5,45.0,58.0,16
120506,ICICI Pru Value Discovery Fund - Regular - Growth,Value,0.1842199653744454,0.6488787755249527,0.16253853279981,1.41,-0.1982565826298267,52.5,52.5,52.5,55.00000000000001,67.5,54.375,17
118635,Nippon India ETF Nifty 50 BeES,Index/ETF,0.2000820838047148,0.6648569985490608,0.1513635464823918,0.89,-0.1165062450540909,60.0,55.00000000000001,45.0,70.0,25.0,53.75,18
