amfi_code,peak_date,peak_nav,worst_drawdown_date,nav_at_worst_drawdown,max_drawdown
100016,2022-03-30,546.3002,2022-09-15,411.1759,-0.24734440880673303
100025,2023-05-23,28.7494,2023-07-28,27.5108,-0.04308263824636349
100033,2022-03-11,111.6641,2022-05-12,93.5553,-0.16217208574644848
101206,2023-04-24,370.0026,2023-07-05,328.2234,-0.11291596329323073
101207,2024-11-21,80.3517,2026-05-11,51.8695,-0.3544691649336603
101208,2023-09-05,346.9958,2023-09-12,346.4328,-0.0016224980244717857
102885,2022-02-03,93.7848,2022-03-29,83.5999,-0.1085986215250232
102886,2025-01-07,169.8164,2026-04-27,122.2659,-0.2800112356639287
102887,2022-01-03,191.0721,2022-07-04,149.9155,-0.21539827112383225
118632,2024-01-02,81.932,2024-07-19,67.6643,-0.17414075086657232
118633,2023-10-30,62.7459,2024-02-29,51.0565,-0.18629743138595511
118634,2025-04-09,126.7224,2026-02-20,97.1392,-0.2334488614483311
118635,2022-01-03,170.3428,2022-06-09,150.4968,-0.1165062450540909
118636,2023-02-09,34.1748,2024-02-09,31.3327,-0.08316361763638702
119092,2023-10-12,54.8362,2025-02-07,46.9389,-0.1440161790933726
119093,2022-02-24,42.2166,2023-05-22,33.0339,-0.21751396370148224
119094,2022-04-14,77.8221,2022-08-11,61.5099,-0.20960883862039192
119095,2025-05-22,106.8214,2026-05-11,51.6185,-0.5167775370852656
119120,2024-09-16,52.5004,2025-04-01,50.2278,-0.04328728923970093
119551,2023-08-24,77.51,2024-02-05,65.8739,-0.1501238549864533
119552,2024-05-21,123.6295,2024-09-02,109.0369,-0.11803493502764295
119598,2024-08-28,225.2452,2025-05-14,160.5863,-0.2870600572176455
119599,2023-01-17,165.7647,2025-10-28,78.6152,-0.5257422117012851
120503,2023-09-19,83.6992,2023-11-09,72.0668,-0.13897862823061635
120504,2022-10-04,73.2507,2023-05-30,64.0297,-0.12588275606922517
120505,2024-10-24,342.4337,2025-01-23,280.1501,-0.18188513572116294
120506,2023-03-31,277.8107,2023-08-14,222.7329,-0.1982565826298267
120507,2025-10-16,372.0401,2025-10-20,371.6765,-0.0009773140045925555
120841,2024-01-09,435.7823,2025-02-14,359.1996,-0.1757361416468729
120842,2023-11-09,80.0837,2024-10-17,60.8608,-0.24003511326274884
120843,2022-03-07,51.4908,2022-04-13,44.8104,-0.1297396816518679
120844,2024-04-12,3738.8231,2024-04-30,3734.4751,-0.0011629327956168556
125497,2023-12-22,857.869,2025-01-01,727.4728,-0.15200013055606398
125498,2025-04-04,168.9962,2025-09-12,133.3088,-0.21117279560132118
148567,2023-07-11,101.8496,2023-10-20,90.3755,-0.11265729075028275
148568,2023-09-05,155.2454,2024-01-24,131.5354,-0.1527259422823477
148569,2023-08-10,54.5401,2023-10-20,45.5973,-0.1639674294693263
149322,2022-01-03,348.7159,2022-02-04,296.9505,-0.14844576917771746
149323,2022-06-06,88.1749,2022-10-24,72.9664,-0.17248105753451382
149324,2024-05-03,174.4645,2025-01-03,120.0806,-0.31171900300634214
